amenities,area,bathrooms,bedrooms,description,link,ownership,price,property_age,property_type,reference,service_charge,size,tags,title,trakheesi_permit
"
                      Unfurnished,
Balcony,
Private Garden,
Private Pool",Sidra Villas II,5,"4
							","FULLY UPGRADED 4 BED VILLA SITUATED ON THE LARGEST PLOT IN SIDRA II.
- Vacant on Transfer
- 4 Bed + Maids
- Huge Plot
- Fully Upgraded
- Extended
- Private Pool
- Outdoor Shower & Changing Room
- BBQ Area
- BUA: 7, 710 Sq Ft.
- Ref: L-174995
- Agent: Alex Baker on +971502493228, RERA BRN No. 43497
Situated on a huge plot is this four bedroom independent villa. The property itself benefits from one downstairs bedroom and three double bedrooms upstairs. On the ground floor you have open planned living dining and kitchen space. Floor to ceiling windows bringing in a lot of natural light. On the first floor is a lovely sized family area, one family bathroom and an en-suite to the master bedroom which also has a large balcony. The garden benefits from a private pool, BBQ area, outdoor changing room and kitchen.
Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.""",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,N/A,"
                                              10,000,000  AED
                                                                  ",N/A,"
			Villa
		",L-174995,N/A,"7,710
						sqft
															 / 
										716
						sqm",Upgraded 4 Bed | Private Pool | Huge Plot,"
                Villa for Sale in Sidra Villas II, Sidra Villas              ",6543830112
"
                      Furnished,
Built in Wardrobes,
Central A/C,
Concierge,
Covered Parking,
Kitchen Appliances,
Security,
Shared Gym,
Shared Pool",Apartment Building 10,3,"2
							","McCone properties are pleased to offer this luxurious 2 bedroom apartment located in the beautiful Bluewater's island Dubai.
Property Details:
- 2 Gorgeous Bedrooms
- 3 Elegantly Designed Bathrooms
- Garden View
- Approx 1,481.54 SqFt
- Bright and spacious living room
- Open Kitchen with Kitchen Appliances
- Floor-to-Ceiling Windows
- Basement Car Park
- Near to retail center, cafes, restaurants, bars, and local shops
Bluewaters Island is a mega-development that combines waterfront - living with the essence of urban city life which is perfectly designed and is aligned to capture outstanding views that offer a unique Island experience. Though most popularly known as a leisure destination due to its famous Ferris wheel, Ain Dubai also has many residential buildings and five-star hotels with waterfront views. 
There are several play areas for children in the complex where kids can have a good time. For older children and adults, the community features a basketball court.
For more information, contact Abbie Elliott on +971585776233.",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,"
							Freehold
					","
                                              5,200,000  AED
                                                                  ","4 Years
			","
			Apartment
		",MCC-S-8721,N/A,"1,482
						sqft
															 / 
										138
						sqm",Exclusive | High Floor | Attractive ROI,"
                Apartment for Sale in Apartment Building 10, Bluewaters Residences              ",7149004948
"
                      Furnished,
Balcony,
Built in Wardrobes,
Central A/C,
Kitchen Appliances,
Shared Gym,
View of Water,
Walk-in Closet",Bulgari Resort & Residences,2,"1
							","Brought to you by Driven Properties, this 1 Bedroom Apartment is located in Bulgari Resort & Residences, Jumeirah.
Unit Details:
  * High floor
  * Type A
  * Full Sea View
  * Open and Fully Fitted
  * Bathrooms: 2
  * Built-up Area: 1619 sqft
  * Parking: 1
  * Fully Furnished
Features:
  * Gym
  * Walk-in Closet
  * Childrens play area
  * Tennis courts
  * Shops
  * Concierge Service
  * Public parking
  * Security
  * Restaurants
Jumeirah is one of the most sought after residential areas along the coast of Dubai with vibrant seaside community experience. This community is also known to one of the greatest hotels in the world, Burj Al Arab
Call our Business Bay office for more information or viewing on +97144297040 for out of office hours or weekends call +971553658402
Ask us about:
  * Mortgage Advisory
  * Property Management
  * Holiday Homes
  * Interior Design
Visit our offices across Dubai's most popular communities including:
  * Business Bay
  * Dubai Creek Harbour
  * Jumeirah Village Circle
  * Dubai Hills Estate",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,"
							Freehold
					","
                                              Ask for price                                          ","6 Years
			","
			Apartment
		",DP-S-43018,N/A,"1,619
						sqft
															 / 
										150
						sqm",Largest Layout | Furnished with Sea View,"
                Apartment for Sale in Bulgari Resort & Residences, Jumeirah Bay Island              ",7121372047
"
                      Unfurnished,
Balcony,
Barbecue Area,
Built in Wardrobes,
Central A/C,
Children's Play Area,
Covered Parking,
Maids Room",Maple 2,3,"5
									+
					Maid			","VACANT | CORNER UNIT | LARGE PLOT | 5 BED- Vacant now- 5 Bedrooms + Maids- Corner unit- Large Plot- BUA - 2,700 Sq.Ft- Plot - 3,500 Sq.ft- Immaculate conditionPresenting this modern 5 bedroom townhouse situated on a large corner plot in the sought after community of maple. Set on a large corner plot and this spacious townhouse offers privacy and is ideally located within the community.The villa comprises of 5 large double bedrooms with one being ideally located downstairs for guest room/study.With a modern bright finish, this is the perfect investment or family home to move intoFor more information please contact Agent Kai on +971508194660 or visit  [link not available] for further details where you will find a selection of all of our available properties for sale and rent. We can also help with obtaining finance, speak to one of our team for more information and to arrange an impartial, non-obligatory mortgage consultation.",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,N/A,"
                                              4,575,000  AED
                                                                  ",N/A,"
			Townhouse
		",WIL-S-5682,N/A,"2,700
						sqft
															 / 
										251
						sqm",AVAILABLE NOW | CORNER UNIT | LARGE PLOT,"
                Townhouse for Sale in Maple 2, Maple at Dubai Hills Estate              ",6928564649
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Kitchen Appliances,
Maids Room,
Private Garden,
Private Pool,
Security,
View of Landmark,
View of Water,
Walk-in Closet",Sanctuary Falls,6,"4
									+
					Maid			","- Fully remodelled throughout
- Renovated to a very high specification
- 7,251 sqft BUA
- 9,376 sqft Plot
- Golf Course and lake view
- Smart home living
- Vacant on transfer
- Call now to arrange your viewing
haus & haus is thrilled to welcome to the market this fully remodelled 4 bedroom independent villa in Sanctuary Falls.
Downstairs consists of open plan living  throughout. Including 2 large family rooms, fully fitted Snaidro Italian kitchen with integrated Gaggenau appliances. German Bifolding doors allowing indoor and outdoor living all year round.
First Floor you will find 3 en-suite bedrooms. Including a master bedroom exceeding 1,400 sq.ft. Featuring his/hers bathroom and walk closet with views of the golf course.
Please call for more information, to arrange a viewing or to make an offer.
Finance is available on this property through haus & haus partners. Please speak to us for more information.
For further details, please drop into our flagship office at the Gold & Diamond Park - or browse the incredible selection of properties we maintain at the haus & haus website. Our specialist brokers will be happy to answer any industry related query you have.",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,N/A,"
                                              20,500,000  AED
                                                                  ",N/A,"
			Villa
		",JVG220172,N/A,"7,251
						sqft
															 / 
										674
						sqm",New To Market | Lake and Golf Course View,"
                Villa for Sale in Sanctuary Falls, Earth              ",65303580009
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Concierge,
Covered Parking,
Kitchen Appliances,
Pets Allowed,
Security,
Shared Gym,
Shared Pool,
Walk-in Closet",Harrington House,2,"2
							","This is an amazing opportunity to buy a ready to move property from the established developer.
Its modern design and high-end finishes, 1,067 sq.ft architectural layout, and top-quality building with full set of facilities are perfect for the bargain-savvy property buyer.
*   Family oriented community in the heart of JVC
*   A tranquil swimming pool and garden
*   Space for barbeque 
*   Big balcony
*   Floor-to-ceiling windows
*   New L-shaped corner kitchen with ‎a breakfast bar‎ and all the appliances included
*   Deluxe built-in wardrobes 
*   Detailed wood flooring
*   Health club and gym
Harrington House developed by Ellington exemplifies a comprehensive and balanced approach to urban living, inspired by the breathtaking Arabian Desert and its natural richness, via a plethora of interwoven features that cater to a happy and healthy existence. 
Sensational offers such as this don't come onto the market frequently so call Natalia Young on +971555608843 at McCone Properties for a viewing.",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,"
							Leasehold
					","
                                              1,400,000  AED
                                                                  ","1 Year
			","
			Apartment
		",MCC-S-8323,N/A,"1,067
						sqft
															 / 
										99
						sqm",Genuine Resale | Ready to Move | Vacant,"
                Apartment for Sale in Harrington House, Jumeirah Village Circle              ",0859721654
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Maids Room,
Pets Allowed,
Private Garden,
Security,
Shared Pool,
Walk-in Closet",Lila,4,"4
									+
					Maid			","Treo Homes is pleased to present this stunning 4bedroom, close to park unit onto the market. Situated in the centre of Arabian Ranches 2. This community is growing day by day to offer it as one very green and popular area. 
Upon entering this immaculate villa, one is greeted by a large open plan design which offers a spacious living room, dining room, and contemporary kitchen, and guest bedroom. All leading onto a fully private garden, perfect for entertaining guests. The first floors offer two sizable bedrooms, both sharing a Jack&Jill style bathroom. The master bedroom boasts with a massive walk in wardrobe, well rounded bathroom, and a spacious balcony. This is truly a unique unit for a growing family. 
Close to Pool and Park
4bedroom plus maid
New to Market
3,234 BUA
Established Community
Single Row 
Vacating February
Be a part of a community within Ranches 2. Perfect unit for growing family, surrounded with amenities. 
Don't let this amazing villa slip through your fingers. Call Andrie to view",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,"
							Freehold
					","
                                              3,900,000  AED
                                                                  ","6 Years
			","
			Villa
		",TREO-S-18248,N/A,"3,234
						sqft
															 / 
										300
						sqm",Vacant Feb  | 4Bed+Maid | Green Garden,"
                Villa for Sale in Lila, Arabian Ranches 2              ",6511710934
,Esmeralda,3,"4
							","House Hunters are excited to exclusively present for sale this stunning C3 villa in the heart of Esmeralda village, Victory Heights.  The property benefits from extremely high-end renovations throughout and includes the following:Open plan living / dining area4 Double bedrooms (2 with en suites / 2 with shared bathroom)Spacious corner plotOutside bar and cooking stationFully landscaped garden Large covered outdoor seating areaLiving / kitchen area knocked throughNew modern kitchen with integrated appliancesFully renovated bathroomsSaunaMaids RoomLaundry areaDurable ceramic wood effect flooringPlease call today to arrange a viewing of this stunning family home.Permit No. 6512616500",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,N/A,"
                                              5,599,000  AED
                                                                  ",N/A,"
			Villa
		",HHRE-S-9997,N/A,"3,770
						sqft
															 / 
										350
						sqm",EXCLUSIVE Immaculately Presented | Renovated Home,"
                Villa for Sale in Esmeralda, Victory Heights              ",6512616500
,Jebel Ali Hills,N/A,N/A,"Plots Facing Park I Up to 8 Villas
- Perfect Plot for Development (Up to 8 Villas)
- Plots Facing Park
- Total sqft 45,500 sqft.
- 4 Plots available for Sale
- 4 Plots can fit up to 8 Villas
- Freehold
D and B Properties is pleased to offer for Sale exclusively this plot located in Jabal Ali Hills.
Jebel Ali Hills is located in Saih Shuaib, near Dubai Parks and Resorts and Dubai World Central. The project enjoys easy access to Sheikh Zayed Road and will be a notable residential community within the Jebel Ali area, benefiting from the idyllic environment and open spaces. Jebel Ali will also be part of the most anticipated event, Dubai Expo 2020, making Jebel Ali Hills one of the most coveted investment destinations.
Property Reference No: BST225032
For quick response call or WhatsApp our Specialist Husni Al Bayari, for more information to +971509681161.
D&B Properties is a leading full-service real estate company in Dubai, UAE. We assist in every aspect of searching and securing residential sales, leasing, commercial and plots with up-to-date knowledge of UAE’s Real Estate market and laws.",/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-one-district-one-villas-9118418.html,N/A,"
                                              5,950,000  AED
                                                                  ",N/A,"
			Land
		",BST225032,N/A,"45,500
						sqft
															 / 
										4,227
						sqm",Exclusive I Perfect Plots Up To 8 Villas,"
                Land for Sale in Jebel Ali Hills, Jebel Ali              ",6524542901
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Kitchen Appliances,
Maids Room,
Security,
Walk-in Closet",Al Sahab 2,4,"3
									+
					Maid			","Exclusive with fam Properties this fully upgraded 3 bedroom duplex + maids.
- Full amazing Marina views from all rooms 
- Very modern, light and bright villa
- Brand new all top of the range Siemens electrical appliances
- 3 bedroom duplex + Maids/Storage
- Maids room converted into office
- 2,483.02 Sq Ft
- Vacant 
- Unfurnished
- Upgraded
- Marina views
Marina living has become one of the most desirable and sought-after lifestyles in the world. Now you can enjoy it all, right here in Dubai. The exclusivity, the status and the rewards of waterfront living are awaiting you at Dubai Marina.
The Marina has everything expected from a meticulously designed community, from educational institutions to health care facilities and entertainment venues.
fäm Properties 
 Contact Us - +97148796864
 Toll free: 800fam800 800326800) 
 Email: cc@famproperties.com
 Visit our website: famproperties.com",/en/plp/buy/villa-for-sale-dubai-falcon-city-of-wonders-western-residence-north-9173977.html,N/A,"
                                              6,995,000  AED
                                                                  ",N/A,"
			Villa
		",PF-VS-76014,"
				10.79
				AED
				per
				sqft
			","2,483
						sqft
															 / 
										231
						sqm",Upgraded Duplex | Modern | Waterfront Villa,"
                Villa for Sale in Al Sahab 2, Al Sahab              ",7115632300
